Comments,Comment_ID,Reply_Count,Like_Count,Date,VidId,user_ID,Sentiment,DateOnly
"Thanks for this video Ken.

I decided to go into Tech in 2018 by learning web development. Learnt a bit of HTML, CSS and Javascript. My goals has since evolved through this period as I got interested in python programming and Data science.

My current interest now tends towards deep learning and AI

Interesting my knowledge of front end web development will be very helpful in web scraping.",UgxFZTIzC4UPyhhX_PZ4AaABAg,0,0,2022-01-22 08:13:29+00:00,xpIFS6jZbe8,user_981,Positive,2022-01-22
"Hello ken jee!!! I'm doing a graduation on Computer Science and i really keen to learn Data Science. From where should i start? learning Python basics? If you have any resources of learning Python, could you help me providing the link? To be honest my excitement to learning data science get on the top notch after watching your this video. 😄",Ugx3IYuAufhb932GYQx4AaABAg,0,0,2022-01-22 01:09:46+00:00,xpIFS6jZbe8,user_213,Positive,2022-01-22
"Thanks for this video, man. So useful. I'll meet you when I'm a Senior Lead Data Scientist at the Company I work for",UgyhwwoK24arzRt1mud4AaABAg,0,0,2022-01-21 23:59:05+00:00,rEWPqw6rMGI,user_1065,Positive,2022-01-21
"Great video!!! I started learning Python 8 months ago and quickly became interested in DS, I have a background in Finace/Econ but never worked in finance (I have a construction business), my goal is to learn DS and work with investments. Having said all that im considering a boot camp and even a masters in DS, I would love to get your opinion on that. Thanks",UgwrrI7nd3WClsotmHV4AaABAg,0,0,2022-01-21 23:00:37+00:00,xpIFS6jZbe8,user_3391,Positive,2022-01-21
"Been watching hours of your material (and Tina) because while I do know that it is not an easy field, I’ve been fascinated by it ever since I first found out about it. Data Analysis is my passion and the one thing I feel I came to the world for, and this role I feel like it’s the pinnacle of it. I will not give up.",UgxlOrHO4MHKSwY9mUN4AaABAg,0,0,2022-01-21 20:24:20+00:00,sHRq-LshG3U,user_2816,Positive,2022-01-21
Hey Ken! I am almost finishing my university degreed in market research & marketing and I am going to focus in data science/data engineering. Currently my friends are telling me to buy a M1 Macbook but I am not sure about compatibilities with OSX and I am not familiarised with Macs (I have always being a Windows user). Do you think it is a good idea or is it better to stick with this Zbooks or any other similar Windows laptop?,UgwimG8chbbq3OQuR1Z4AaABAg,0,0,2022-01-21 14:32:13+00:00,YR9Faf1uZDg,user_2217,Positive,2022-01-21
"So basically is it modest to say that the silver bullet to get into a good role is:
➡️to have had Software Engineer/Development education + experience

Else
➡️to have been submerged  in roles in your current situation (sometimes very unlikely) analyst to scientist
➡️if none of the above, then to get either of the three things (recommended but not required) but without a work portfolio (professional or otherwise) it is intensively hard",UgxdvNxfl4oh9zqJPFh4AaABAg,0,0,2022-01-21 13:40:39+00:00,Q9FjwzKFPuM,user_2816,Neutral,2022-01-21
"Hi Ken, as always, your videos are insightful and easy to follow. Would you say that  one of the main distinctions between a data analyst and a data scientist is that the analyst focuses on what happened? While the scientist is looking for future possible outcomes? Thanks so much again for your hard work in helping us!",UgyZtSFQWOCOKWVzHLt4AaABAg,0,0,2022-01-21 05:36:38+00:00,rEWPqw6rMGI,user_2174,Positive,2022-01-21
"Watching this for a second time while working out because, well, I'm a huge geek and a fanboi.",Ugx3k4xS-oQi434WINV4AaABAg,0,1,2022-01-21 02:30:26+00:00,xpIFS6jZbe8,user_287,Positive,2022-01-21
Any good resume templates I can use?,UgxWkiyn3UVPWws5JwR4AaABAg,0,0,2022-01-21 00:07:05+00:00,PWmxLYTixAM,user_613,Positive,2022-01-21
Like Bayesian probably,UgynMqyfhSbeB3PDqI14AaABAg,0,0,2022-01-20 23:33:53+00:00,YbTMIxjk4hI,user_1250,Neutral,2022-01-20
"Hey Ken! Great introductory video! Thanks :) i have been doing small projects involving blockchain. For example, I scrape blockchain data but i do it using beautifulsoup and selenium. There are APIs but most are not well documented and are not free. When you said “new tools” to work with blockchain data, what do you mean? Also, if you are looking for projects, i would love to brainstorm with you and come up with ideas. I am already working on one and would be great to discuss it with you :)",Ugxs_IcseYwWU7h-fAN4AaABAg,0,0,2022-01-20 15:37:18+00:00,0jTtHYie3CU,user_2381,Positive,2022-01-20
"Hey Ken! I would love to hear opinion from you regarding your graduate program at DePaul. Do you think it is a good program for someone without formal CS background? I studied Quantitative Economics as undergrad without programming experience, except statistical programs like eViews, Stata and SPSS. I am currently doing internship at Fortune 200 company as Data Analyst where I will craft my Data Modelling, Analysis and Visualization skills using ( Power) Excel, PowerBI, SQL, Python Spark, matplotlib, pandas etc.",UgwdlxP8gpHVbfk9iIx4AaABAg,0,0,2022-01-20 12:39:10+00:00,0jTtHYie3CU,user_2606,Positive,2022-01-20
Thank you sir ⚡,UgycA1BsfvTXbveDPRJ4AaABAg,0,1,2022-01-20 11:15:10+00:00,XWetgrNas-k,user_3832,Neutral,2022-01-20
Great! Now I can just shove this video in my parents' face next time they ask me what I plan on doing later on in life LMAO,UgwX4jdDxkfNs4rxdFF4AaABAg,0,0,2022-01-19 21:53:22+00:00,rEWPqw6rMGI,user_3292,Positive,2022-01-19
Sir I'm from Bangladesh. I am doing bachelor in math. Can I go for data science?,UgyHo23B_DfC90eEQfJ4AaABAg,0,0,2022-01-19 19:55:27+00:00,zSwM5uVeylU,user_5217,Neutral,2022-01-19
"Hey Ken!
What I have to choose in between Bachelor of business administration major in Finance or IT..to continue in data Science?!",UgyJ4d-_-3XQ-aM61IN4AaABAg,0,0,2022-01-19 19:44:37+00:00,xjhW1rSQeik,user_3518,Positive,2022-01-19
Thank you for the amazing series. Was really helpful,Ugwzzl0pva0xOoeQUql4AaABAg,0,1,2022-01-19 18:29:39+00:00,nUOh_lDMHOU,user_5259,Positive,2022-01-19
Danger Will Robinson! It's always about the $$$$$.,UgxGj59vp4hGOgwUdil4AaABAg,0,0,2022-01-19 15:44:31+00:00,0jTtHYie3CU,user_2402,Neutral,2022-01-19
