Video,Video title,Video publish date,Comments,Shares,DisLikes,Likes,Subscribers lost,Subscribers gained,RPM (USD),CPM (USD),Average Percentage viewed(%),Average view Duration,Views,Subscribers,Your Estmated Revenue (USD),Impressions,Impressionss click-through rate (%),Watch time,Publish Month,Publish Day,Publish Weekday,Is Weekend,Likes per View,Dislikes per View,Comments per View,Shares per View,Subscribers per View,Average view Duration (sec),Watch time (sec),Performance
shsyg79bjbkki,pubg,2020-08-29,14197,39640,3902,225021,4570,229241,5.276,11.99,26.61,0 days 00:03:25,5568487,183451,29068.652,100954064,3.16,13233 days 10:21:12.959999902,8,29,Saturday,True,0.04040971265449436,0.0007007288154342794,0.0025495251134598834,0.00711862897073676,0.0329444904972409,205.0,1143368472.9599998,High
4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,907,9583,942,46903,451,46904,6.353,12.835,36.65,0 days 00:03:09,1253559,46453,7959.533,26498799,3.14,2743 days 18:42:15.119999974,5,8,Friday,False,0.03741583968856696,0.0007514598423689333,0.0007235393599029962,0.007644628099173554,0.03705686205686206,189.0,237062535.11999997,High
78LjdAAw0wA,100K Channel Update + AMA Stream!,2020-11-12,412,4,4,130,15,12,2.668,6.259,6.26,0 days 00:05:14,2291,1300,6.113,188318,0.72,8 days 08:17:47.759999999,11,12,Thursday,False,0.056719022687609075,0.0017452006980802793,0.17975567190226877,0.0017452006980802793,0.5671902268760908,314.0,721067.759999999,Low
hO_YKK_0Qck,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,402,152,15,881,9,198,9.516,11.695,15.12,0 days 00:10:21,21350,1189,202.963,442334,2.53,153 days 15:20:19.320000,7,16,Thursday,False,0.04126270432298253,0.000702543206407194,0.0188281579317128,0.007119104491592899,0.05568825816121025,621.0,13274419.32,High
uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,2020-08-29,375,367,22,2622,40,1957,3.143,7.943,33.41,0 days 00:02:36,49564,11917,155.779,521185,4.01,89 days 12:18:39.600000,8,29,Saturday,True,0.052900232018561484,0.00044386159588419245,0.007565822657116917,0.0074044184404317565,0.2404317562796328,156.0,7733919.6,High
Xgg7dIKys9E,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,329,118,15,590,11,161,2.973,7.425,9.55,0 days 00:04:37,13429,1150,39.92,210876,3.38,43 days 02:23:40.200000,8,5,Wednesday,False,0.04393149664929263,0.0011169024571854058,0.024497393894266566,0.008786299329858525,0.08562918838421445,277.0,3723820.2,High
3d1NctSv0c,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,317,8,2,137,16,11,2.286,5.786,10.4,0 days 00:05:55,2326,500,5.318,123236,0.98,9 days 13:25:31.800000,6,20,Saturday,True,0.0588740868070477,0.0008594757198109154,0.1362269015900301,0.0034379028792436614,0.21486892995272883,355.0,825931.8,Low
Ip50cXvpWY4,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,294,4694,75,19464,131,10734,4.097,9.124,33.8,0 days 00:02:06,297222,10603,1217.046,4512254,3.24,436 days 01:02:48.120000003,3,9,Monday,False,0.06548618377447236,0.0002523357882801802,0.0009891562900583063,0.015792855869162212,0.035673551508463346,126.0,37674168.12,High
4qZINLzwYyk,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,267,544,61,633,38,335,6.722,9.554,9.52,0 days 00:03:36,20089,297,135.037,1191518,1.19,50 days 05:49:16.680000,6,5,Friday,False,0.031508213041314084,0.0030363364858138377,0.01329019412643106,0.027078148332503733,0.014783474365355898,216.0,4340956.68,High
742LQ38OioU,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,246,17,5,191,13,26,2.461,5.439,8.49,0 days 00:04:56,3711,1300,9.132,131803,1.33,12 days 17:36:38.160000,7,1,Wednesday,False,0.051454741379310345,0.0013469827586206897,0.06627155172413793,0.0045797413793103444,0.35021551724137934,296.0,1100198.16,Low
